YEAR	SOURCE	RECEIVER	LN_TRADE
1988	SLV	DZA	0.0
1989	DZA	SLV	0.0
1989	SLV	DZA	8.8265321955466
1990	DZA	SLV	0.0
1990	SLV	DZA	14.8595147514816
1991	DZA	SLV	0.0
1991	SLV	DZA	15.2150299385526
1992	DZA	SLV	0.0
1992	SLV	DZA	0.0
1993	DZA	SLV	0.0
1993	SLV	DZA	11.0734828674505
1994	DZA	SLV	0.0
1994	SLV	DZA	10.8096062382919
1995	DZA	SLV	9.19905806782613
1995	SLV	DZA	13.7770446848869
1996	DZA	SLV	9.2909017861043
1996	SLV	DZA	13.3387750307708
1997	DZA	SLV	0.0
1997	SLV	DZA	12.2011940072946
1998	DZA	SLV	13.8323400859887
1998	SLV	DZA	11.9641280349683
1999	DZA	SLV	0.0
1999	SLV	DZA	11.3239417653027
2000	DZA	SLV	7.73499619402278
2000	SLV	DZA	11.3095722859751
1981	DZA	FIN	16.2668506423546
1981	FIN	DZA	18.9561904316704
1982	DZA	FIN	16.49932357028
1982	FIN	DZA	18.9518683318147
1983	DZA	FIN	15.5162858655192
1983	FIN	DZA	18.9662050777788
1984	DZA	FIN	14.7879452262073
1984	FIN	DZA	19.1568694220739
1985	DZA	FIN	15.1632255612223
1985	FIN	DZA	18.9622026996143
1986	DZA	FIN	14.8985513576587
1986	FIN	DZA	18.4543525817593
1987	DZA	FIN	15.2225458582719
1987	FIN	DZA	18.4924260214257
1988	DZA	FIN	14.1548494468132
1988	FIN	DZA	18.4020949849786
1989	DZA	FIN	15.6339881689692
1989	FIN	DZA	18.6790421572183
1990	DZA	FIN	17.0149767937945
1990	FIN	DZA	18.24462302811
1991	DZA	FIN	16.352356191435
1991	FIN	DZA	18.0692803077882
1992	DZA	FIN	10.1092514984646
1992	FIN	DZA	16.9835535132656
1993	DZA	FIN	0.0
1993	FIN	DZA	17.4211101188363
1994	DZA	FIN	16.5852448919915
1994	FIN	DZA	17.0283422889397
1995	DZA	FIN	14.2997197380306
1995	FIN	DZA	18.0257352149902
1996	DZA	FIN	12.7494599744474
1996	FIN	DZA	18.0901928656951
1997	DZA	FIN	17.4662989482831
1997	FIN	DZA	18.241338812008
1998	DZA	FIN	16.0185724171833
1998	FIN	DZA	18.2705559715415
1999	DZA	FIN	8.33034712875084
1999	FIN	DZA	18.4276767804856
2000	DZA	FIN	14.7420620675475
2000	FIN	DZA	18.3855761344099
1981	DZA	FRA	22.2400632986279
1981	FRA	DZA	22.1011453785245
1982	DZA	FRA	22.6735846391786
1982	FRA	DZA	22.1151433609824
1983	DZA	FRA	22.3989050508932
1983	FRA	DZA	22.1623839912225
1984	DZA	FRA	22.2745810361277
1984	FRA	DZA	22.1128364825313
1985	DZA	FRA	22.0367081195666
1985	FRA	DZA	22.1318508659374
1986	DZA	FRA	21.6869637175334
1986	FRA	DZA	21.9699115002348
1987	DZA	FRA	21.4951401149849
1987	FRA	DZA	21.6151242610971
1988	DZA	FRA	21.3916887941928
1988	FRA	DZA	21.4326858899998
1989	DZA	FRA	21.4455358501356
1989	FRA	DZA	21.518013107526
1990	DZA	FRA	21.6635277910114
1990	FRA	DZA	21.8105006614649
1991	DZA	FRA	21.7158119034404
1991	FRA	DZA	21.4180622302762
1992	DZA	FRA	21.5580451801179
1992	FRA	DZA	21.6686143848273
1993	DZA	FRA	21.2182093545611
1993	FRA	DZA	21.705380124906
1994	DZA	FRA	21.2765422002216
1994	FRA	DZA	21.7388790690739
1995	DZA	FRA	21.2570012133484
1995	FRA	DZA	21.833775399441
1996	DZA	FRA	21.3589411216051
1996	FRA	DZA	21.6170139022817
1997	DZA	FRA	21.5677555259239
1997	FRA	DZA	21.4914960926354
1998	DZA	FRA	21.2193576950054
1998	FRA	DZA	21.5852194740113
1999	DZA	FRA	21.212632297949
1999	FRA	DZA	21.4916004595703
2000	DZA	FRA	21.5844853753611
2000	FRA	DZA	21.4930560233524
1981	DZA	DEU	22.2192104883051
1981	DEU	DZA	21.7939804179181
1982	DZA	DEU	21.7558953927119
1982	DEU	DZA	21.6999518745313
1983	DZA	DEU	21.4872545329622
1983	DEU	DZA	21.4238591826223
1984	DZA	DEU	21.2182553153162
