date	c1	c2	c1_ctxt_l	c1_ctxt_r	c2_ctxt_l	c2_ctxt_r
20030312	IRQ	PAK	says,difficult,to,support,war,on			says,difficult,to,support,war,on
20030312	AUS	USA	court,decision,over,hicks,astounding	lawyer		court,decision,over,hicks,astounding
20030312	TUR	USA	warning,shots,fired,at	anti	anti	protesters
20030313	AUS	SWE		unchanged,for,davis,cup,clash,in	unchanged,for,davis,cup,clash,in	
20030313	GBR	IRQ		lists,six,tests,for	lists,six,tests,for	to,avoid,war
20030313	GBR	IRQ		sets,out,fresh,demands,for	sets,out,fresh,demands,for	to,disarm
20030313	FRA	GBR		rejects	rejects	offer,on
20030313	FRA	IRQ		rejects	offer,on	
20030313	GBR	IRQ	rejects	offer,on	offer,on	
20030313	FRA	GBR		response,baffles	response,baffles	howard,hits
20030313	IND	MYS		says	says	regrets,raids,on,it,workers
20030313	CHL	IRQ	peace,process,falling,apart			peace,process,falling,apart
20030313	PRK	USA		close,to,nuclear,capability	close,to,nuclear,capability	says
20030313	IRQ	RUS	calls,for,more,time,for			calls,for,more,time,for
20030313	QAT	USA	forces,commander,arrives,at	base		forces,commander,arrives,at
20030313	IRQ	USA	sticking,to	deadline		sticking,to
20030314	AUS	USA				free,trade,talks,begin
20030314	FRA	IRQ		insists,on,peaceful	insists,on,peaceful	solution
20030314	GBR	IRQ	rejects	proposal,to,avoid,war		rejects
20030314	USA	USA	senden,one,shot,shy,of	trio,in	trio,in	pga
20030314	LKA	NZL		hoping,for	hoping,for	defeat
20030314	IRQ	SWE	expels,two	diplomats		expels,two
20030314	PRK	USA	claims,unusual,activity,at	test,sites		claims,unusual,activity,at
20030314	IRQ	USA	military,masses,for	offensive		military,masses,for
20030314	PRK	USA	spy,planes,back,in	skies		spy,planes,back,in
20030315	KHM	THA		agrees,to,pay,for,trashing,of	agrees,to,pay,for,trashing,of	embassy
20030315	KOR	TON	smash	in,world,cup,play,off		smash
20030316	AFG	PAK		releases	releases	prisoners
20030316	BEL	USA		to,refuse,transit,to	to,refuse,transit,to	forces,if
20030316	BEL	IRQ		to,refuse,transit,to	forces,if	war
20030316	IRQ	USA	forces,if	war	to,refuse,transit,to	forces,if
20030316	RUS	USA		restaurant,bans,uk	restaurant,bans,uk	citizens,in,war
20030316	KOR	TON	crush			crush
20030316	ESP	TON		see,off		crush
20030316	TON	TUN		crush	see,off	in
20030316	ESP	KOR		see,off	crush	
20030316	KOR	TUN	crush		see,off	in
20030316	ESP	TUN		see,off	see,off	in
20030317	AUS	IRQ		peace,activist,vows,to,stay,in	peace,activist,vows,to,stay,in	
20030317	AUS	LKA		plans,to,intimidate	plans,to,intimidate	
20030317	FRA	IRQ		must,decide,overnight,on	must,decide,overnight,on	veto,blair
20030317	FRA	RUS				restate,veto,threat
20030317	DEU	USA		spurns	spurns	plea,for
20030317	DEU	IRQ		spurns	plea,for	backing
20030317	IRQ	USA	plea,for	backing	spurns	plea,for
20030317	IND	KEN		respect	respect	srinath
20030317	IRQ	NRU		detainee,in	detainee,in	not,dead
20030317	ISR	PSE		locks,down	locks,down	areas,for,festival
20030317	IND	PAK	to,push,icc,on	boycott		to,push,icc,on
20030317	IRQ	KWT	un,work,on,hold,in			buffer,zone
20030317	IRQ	USA	hits,phones,in,last,bid,for	mandate		hits,phones,in,last,bid,for
20030318	AUS	CHN		may,have,21,cases,of	may,have,21,cases,of	virus
20030318	AUS	USA	howard,commits	troops,to	troops,to	led,war
20030318	IRQ	PRK		outcome,will,send,message,to	outcome,will,send,message,to	downer
20030318	MYS	USA		criticises	criticises	attack,plans
20030318	IRQ	USA	ultimatum,on		schroeder,rejects	ultimatum,on
20030318	TUR	USA		may,be,ready,to,assist	may,be,ready,to,assist	
20030318	TUR	USA		reconsidering,disallowing	reconsidering,disallowing	troops
20030318	KWT	USA	troops,preparing,in	desert		troops,preparing,in
20030319	AUS	MYS				to,co,operate,over,antarctic
20030319	AUS	USA		reconsider	reconsider	trip,as,war,looms
20030319	CHN	USA		frees,ex,sect,member,with	frees,ex,sect,member,with	residency
20030319	IRQ	USA		parliament,rejects	parliament,rejects	ultimatum
20030319	IRQ	USA		parliament,says,a	parliament,says,a	led,war,will,end,in
20030319	ISR	PSE		president,secretly,meets	president,secretly,meets	
20030319	ITA	USA		supports	supports	stance,on
20030319	IRQ	ITA	stance,on			supports
20030319	IRQ	USA	stance,on		supports	stance,on
20030319	KOR	USA		voices,support,for	voices,support,for	war,in
20030319	IRQ	KOR	war,in			voices,support,for
20030319	IRQ	USA	war,in		voices,support,for	war,in
20030319	AUS	USA	uk,and	markets	stunning,gains,on	uk,and
20030319	IRQ	THA	expels	diplomats		expels
20030319	TUR	USA		may,approve	may,approve	use,of,airspace
20030319	IRQ	USA	led,forces,move,towards	border		led,forces,move,towards
20030319	KWT	USA	troops,hit,by,sandstorm,in	desert		troops,hit,by,sandstorm,in
20030320	GBR	TUR		asks	asks	for,use,of,airspace
20030320	CUB	USA		plane,lands,in	plane,lands,in	after,hijacking
20030320	IRQ	KWT	gas,alert,as	lobs,scuds,at	lobs,scuds,at	
20030320	IND	KEN		goes,in,to,bat,against	goes,in,to,bat,against	
20030320	IRQ	USA		condemns	condemns	aggression
20030320	IRQ	USA		declares,jihad,on	declares,jihad,on	
20030320	IRQ	USA		envoy,says	envoy,says	attacks,breach,law
20030320	IRQ	KWT		missiles,hit	missiles,hit	official
20030320	IRQ	ISR		warns	warns	over
20030320	IRQ	USA		warns	over	ties
20030320	ISR	USA	warns	over	over	ties
20030320	IRQ	MYS	condemns,attack,on			condemns,attack,on
20030320	IND	KEN		clash	rain,threatening	
20030320	AFG	USA	army,launches,attacks,in			army,launches,attacks,in
20030320	IRQ	USA	attack,aimed,at	leadership		attack,aimed,at
20030320	IRQ	USA	missiles,aimed,at	meeting		missiles,aimed,at
20030320	GBR	USA	meeting			missiles,aimed,at
20030320	GBR	IRQ	meeting		missiles,aimed,at	meeting
20030321	AUS	GBR		hines,into	hines,into	squad
20030321	AUS	USA				complete,first,round,of,trade,treaty
20030321	GBR	IRQ		says,up,to,30	says,up,to,30	oil,wells,on,fire
20030321	CHN	IRQ		treated,to,fast,fair,coverage,of	treated,to,fast,fair,coverage,of	war
20030321	IRQ	KWT		fires,ninth,missile,at	fires,ninth,missile,at	
